model,seed,condition,accuracy,macro_f1,weighted_f1,mae,pearson
state_aug,43,clean,0.5892857142857143,0.5298341589752805,0.5651490276328568,0.664400041103363,0.5481368172565421
state_aug,43,text_10_front,0.5782967032967034,0.5118822852836701,0.5505916450444122,0.6655036211013794,0.5369808976174983
state_aug,43,text_10_middle,0.5741758241758241,0.5161057554817207,0.5503655247056903,0.6692909598350525,0.5340412006059022
state_aug,43,text_10_back,0.5837912087912088,0.52689199849307,0.5613546862506268,0.6706070899963379,0.5309126855989377
state_aug,43,text_30_front,0.5728021978021978,0.5118687221523606,0.5476229544135092,0.6839589476585388,0.48948834927784796
state_aug,43,text_30_middle,0.5521978021978022,0.4989002543645435,0.5331839579586716,0.6883878707885742,0.4841741812115551
state_aug,43,text_30_back,0.5714285714285714,0.5192678183134175,0.552266157818347,0.680981457233429,0.510012036103802
state_aug,43,text_50_front,0.5563186813186813,0.5030995694416266,0.5377522448809728,0.7041362524032593,0.4496924831988976
state_aug,43,text_50_middle,0.5384615384615384,0.4918238030628188,0.525218690968756,0.7118045687675476,0.44551082006730275
state_aug,43,text_50_back,0.5453296703296703,0.5047890283634892,0.534370251432221,0.7098541855812073,0.44512527979764405
state_aug,43,audio_10_front,0.5947802197802198,0.5360308239275654,0.5712168647707612,0.6660922169685364,0.5489541341524125
state_aug,43,audio_10_middle,0.5892857142857143,0.528570472687394,0.5645855277239922,0.6641796827316284,0.5516862875454521
state_aug,43,audio_10_back,0.5947802197802198,0.5376670124253633,0.571899334527065,0.6642678380012512,0.5494226639086349
state_aug,43,audio_30_front,0.592032967032967,0.5424429340281969,0.574686965603742,0.6704702973365784,0.5500794279970923
state_aug,43,audio_30_middle,0.5961538461538461,0.5389102681365414,0.5738600426183965,0.6662750244140625,0.5537951253369429
state_aug,43,audio_30_back,0.5989010989010989,0.5421412834765579,0.5766316055442778,0.6647116541862488,0.5514165779127472
state_aug,43,audio_50_front,0.5865384615384616,0.5381100996852787,0.5704065185568766,0.6751342415809631,0.551306364924502
state_aug,43,audio_50_middle,0.5947802197802198,0.5380201552587613,0.5734332696610932,0.6726998090744019,0.5529922232114596
state_aug,43,audio_50_back,0.5961538461538461,0.5403242785137606,0.5747515487991202,0.6679649353027344,0.5533097033584254
state_aug,43,vision_10_front,0.5879120879120879,0.5270366994504926,0.5624711538883574,0.6647590398788452,0.5494386802267904
state_aug,43,vision_10_middle,0.5851648351648352,0.5241189511876749,0.5600929372641531,0.6657271385192871,0.5476464859553737
