sample_id,modality,absolute_error_change,intensity_change,class_changed
80566$_$0,text,0.27727100253105164,-0.27727100253105164,True
80566$_$3,text,-0.09914332628250122,0.09914333373308182,False
80566$_$2,text,0.13546183705329895,-0.13546183705329895,False
80566$_$4,text,-0.11585497856140137,0.11585497856140137,False
80566$_$6,text,0.21470260620117188,-0.21470260620117188,False
80855$_$11,text,0.00038732588291168213,0.00038732588291168213,False
80855$_$10,text,0.149305522441864,-0.149305522441864,False
80855$_$12,text,-0.058965690433979034,-0.058965690433979034,False
80855$_$15,text,0.18404138088226318,-0.18404141068458557,False
80855$_$17,text,-0.05667531490325928,0.05667531490325928,False
80855$_$0,text,0.23420508205890656,-0.23420508205890656,True
80855$_$3,text,0.21248354017734528,-0.31724268198013306,False
80855$_$2,text,-0.21096837520599365,0.21096843481063843,False
80855$_$7,text,0.011038064956665039,-0.011038064956665039,False
80855$_$20,text,-0.33172738552093506,0.33172741532325745,True
830KzUc6CbU$_$0,text,-0.12941139936447144,0.12941139936447144,False
830KzUc6CbU$_$13,text,-0.18838679790496826,0.1883867383003235,False
84140$_$0,text,-0.07120633125305176,0.07120636850595474,True
84140$_$5,text,-0.06978064775466919,-0.06978067755699158,False
89835$_$1,text,0.191298246383667,-0.1912982165813446,False
89835$_$0,text,0.1519714891910553,0.1519714891910553,True
89835$_$4,text,0.11023688316345215,0.1102367639541626,False
89835$_$7,text,0.1762394905090332,0.17623937129974365,False
8eaYvALnJ0o$_$1,text,0.10023641586303711,-0.10023653507232666,False
8eaYvALnJ0o$_$0,text,0.03171229362487793,-0.03171229362487793,False
8x_nCOh6Wmc$_$6,text,-0.3072358965873718,0.30723586678504944,False
96642$_$1,text,-0.07647699117660522,0.07647699117660522,True
96642$_$3,text,0.1946808099746704,-0.1946808099746704,True
96642$_$2,text,-0.330165296792984,-0.37816861271858215,True
96642$_$4,text,-0.01642632484436035,-0.016426384449005127,False
99501$_$10,text,0.1950744390487671,0.19507434964179993,True
99501$_$13,text,0.08547312021255493,0.08547312021255493,False
99501$_$1,text,0.13479647040367126,0.13479647040367126,False
99501$_$0,text,0.20869562029838562,-0.20869562029838562,False
99501$_$5,text,0.04600784182548523,-0.04600784182548523,False
99501$_$7,text,-0.16600465774536133,-0.16600465774536133,False
9QI-9w_VdB4$_$0,text,-0.19099244475364685,-0.19099244475364685,False
AG5EY8ZaFj4$_$3,text,-0.05341872572898865,-0.05341872572898865,False
AG5EY8ZaFj4$_$15,text,-0.06612783670425415,0.06612783670425415,False
Arh2TKRi_mg$_$15,text,0.03282898664474487,-0.03282898664474487,False
Arh2TKRi_mg$_$14,text,0.3505226969718933,-0.3505226671695709,False
Arh2TKRi_mg$_$16,text,0.2731824517250061,0.28196150064468384,False
Arh2TKRi_mg$_$19,text,-0.0035451650619506836,-0.0035451650619506836,False
