model,seed,condition,accuracy,macro_f1,weighted_f1,mae,pearson
mlp,43,audio_30_two_blocks,0.5796703296703297,0.527756922378086,0.5613471462556341,0.6674185395240784,0.5403573097797475
smooth_aug,17,clean,0.5824175824175825,0.5417626951635423,0.5698714189863917,0.6686962842941284,0.5364576833493782
smooth_aug,17,text_10_front,0.5769230769230769,0.532671654705553,0.562615800751394,0.6784772872924805,0.5195699718201293
smooth_aug,17,text_10_middle,0.5769230769230769,0.5348432396487316,0.5639926288579694,0.6764375567436218,0.5218266668200625
smooth_aug,17,text_10_back,0.5769230769230769,0.5355855514298428,0.5655898645010005,0.6783380508422852,0.5206157570403048
smooth_aug,17,text_30_front,0.5576923076923077,0.5154476207072868,0.5453543809105106,0.7068273425102234,0.4592257940644141
smooth_aug,17,text_30_middle,0.5439560439560439,0.5041170002966161,0.5334738631062512,0.7061842083930969,0.457554840121059
smooth_aug,17,text_30_back,0.5590659340659341,0.5204577305096095,0.5475150527316992,0.6999458074569702,0.48026919768712467
smooth_aug,17,text_50_front,0.5274725274725275,0.48291021156088626,0.5151842622644721,0.7333384156227112,0.4045609555888658
smooth_aug,17,text_50_middle,0.5054945054945055,0.4654453347790503,0.49587673853246883,0.7380303740501404,0.3890289961241983
smooth_aug,17,text_50_back,0.5412087912087912,0.5053691240811143,0.5312457738972491,0.7343164682388306,0.3944260581753305
smooth_aug,17,audio_10_front,0.5714285714285714,0.5325239891217027,0.5611057757838099,0.6675161123275757,0.5416155547972954
smooth_aug,17,audio_10_middle,0.5782967032967034,0.5412676260718866,0.5683108790796413,0.6648911833763123,0.5421951104286783
smooth_aug,17,audio_10_back,0.5810439560439561,0.5397265973041397,0.5688627874279549,0.6662850975990295,0.5410897133107058
smooth_aug,17,audio_30_front,0.5782967032967034,0.5453189038094698,0.5721849259585108,0.6671290993690491,0.5465447503766726
smooth_aug,17,audio_30_middle,0.5755494505494505,0.5412874566861178,0.5694825680044356,0.662964403629303,0.5494694793078783
smooth_aug,17,audio_30_back,0.5782967032967034,0.5374544726047965,0.5668336560635543,0.6642183065414429,0.5498106169114588
smooth_aug,17,audio_50_front,0.5728021978021978,0.5455468488581358,0.5711463854828003,0.6676977872848511,0.551081570522543
smooth_aug,17,audio_50_middle,0.5796703296703297,0.5508519638150217,0.5770471539698367,0.6675665378570557,0.551747161837006
smooth_aug,17,audio_50_back,0.5728021978021978,0.537211689075507,0.5654957618078583,0.6671542525291443,0.5512970105329456
